uid	text_value
00Ea0e5amtX8E2cJY0RvP9jGTuv2	I just came across it on my app store. 
00Ea0e5amtX8E2cJY0RvP9jGTuv2	I believe that sometimes. 
00Ea0e5amtX8E2cJY0RvP9jGTuv2	The real movie where you free. I don't know if everybody would be humble though. 
00Ea0e5amtX8E2cJY0RvP9jGTuv2	living grace Do you have a worry-free life? 
00Ea0e5amtX8E2cJY0RvP9jGTuv2	How much money I have and I wish to have a job? 
02mGIZGHf1ULo4FCL0avJ4jvbq82	In control of my life except for me. 
02mGIZGHf1ULo4FCL0avJ4jvbq82	I want to focus on the positive instead of the negative. 
02mGIZGHf1ULo4FCL0avJ4jvbq82	I feel fortunate to have my family. my kids 
02mGIZGHf1ULo4FCL0avJ4jvbq82	I need to work on my PMP. and need to exercise sometime today. 
02mGIZGHf1ULo4FCL0avJ4jvbq82	My buddy can do some pretty incredible things. 
02mGIZGHf1ULo4FCL0avJ4jvbq82	Mindful daily journaling ✍️
06yhAq7hMRcVgEsRPJC9r3sOILP2	well, there's two that are I'm very close with one that probably understands me the most and one that I like to have fun with so in total for 
06yhAq7hMRcVgEsRPJC9r3sOILP2	If I was able to talk to Zach about what happened over the weekend and know how he was feeling. And my friends have my back about things the ones here dead, but the one back home didn't. 
079kvKDA8BZiySXLstBcUqpXT2T2	No me. You suggested some ideas to improve my mood
079kvKDA8BZiySXLstBcUqpXT2T2	Raising a child without his mother wanting to be involved. 
079kvKDA8BZiySXLstBcUqpXT2T2	I have a femur break and shatter into places and it took two years to learn to walk again. I can't walk now. Although I do have some pain. So I'm limited how much I can work out, but I can work out and I want to build on that. 
079kvKDA8BZiySXLstBcUqpXT2T2	He resents being a single dad. The grandsons mother abandoned him and my son is left to raise him alone. With our help 
079kvKDA8BZiySXLstBcUqpXT2T2	Lack of communication. Lack of forgiveness toward children. 
079kvKDA8BZiySXLstBcUqpXT2T2	It's Christmas time and I want my family clothes. Just looking at the Christmas tree and remembering. him being around he's not here and everybody else is. Makes it hard. 
079kvKDA8BZiySXLstBcUqpXT2T2	I really don’t know. I really don’t
079kvKDA8BZiySXLstBcUqpXT2T2	I’m 50/50 on it. I haven’t reached out to them already because they have made no attempt to respond to any correspondence I’ve sent
079kvKDA8BZiySXLstBcUqpXT2T2	my husband because he's a good friend and a good provider. My grandson because he's very loving and silly and goofy. My middle son because he's very wise and thoughtful. And he loves me a great deal. 
079kvKDA8BZiySXLstBcUqpXT2T2	Feeling better, not as sick. 
079kvKDA8BZiySXLstBcUqpXT2T2	Thank you for listening. It helps to help me process how I’m feeling and the suggestions are very helpful. I will do some of what you suggested to improve my mood. Again. Thank you :)
079kvKDA8BZiySXLstBcUqpXT2T2	If nothings changed maybe worse
079kvKDA8BZiySXLstBcUqpXT2T2	My adult son not communicating with me and his dad. Son is making poor life choices and instead of correcting the bad behavior, he has just stopped being in our lives so he won’t hear that he is doing wrong. 
079kvKDA8BZiySXLstBcUqpXT2T2	I'm still working on a lot of that, but I definitely want to work on my health and getting in better shape. 
